	id	question	correctAnswer	answerA	answerB	answerC	answerD
1273	1273	Radio astronomers Arno Penzias and Robert Wilson discovered a microwave signal during their research in 1964. The microwaves were uniform and coming from all directions in the sky. The phenomenon known as Cosmic Microwave Background (CMB) provided evidence that the universe was once very hot and dense.How did CMB contribute to the perception of the Big Bang?	A	CMB confirmed how matter expanded during the Big Bang.	CMB was the magnetic field that supported the Big-Bang theory.	CMB was a reflection of the thermal energy generated during the Big Bang.	CMB represented the energy trails of moving matter as stated in the Big-Bang theory.
1274	1274	Which unit is used to record distances between stars?	C	miles	kilometers	light years	astronomical units
1275	1275	Approximately how many times does the Moon revolve around Earth during one revolution of Earth around the Sun?	B	1	12	28	365
1276	1276	Many times scuba divers use weights to change their relative buoyancy.  If the scuba diver's weight is less than the buoyant force of the water, the diver will ___________.	B	sink down in the water	float up in the water	be suspended in the water	die due to the pressure of the water
1277	1277	Carbon is an important element for life and is found in __________ molecules in living organisms.	D	all of the organisms	all of the small (inorganic) organisms	only large (organic) organisms	both large (organic) and small (inorganic) organisms
1278	1278	Which illness is associated with a weakened immune system in the body?	B	tetanus	cancer	measles	rabies
1279	1279	Which of these will always produce a magnetic field?	C	a bar of steel	a bar of aluminum	an electric current	an electric charge
1280	1280	Which is the most likely reason why scientific theories change?	D	public opinions change	retiring scientists are replaced	more money is spent on science	scientists make new observations
1281	1281	What is the protein that acts to harden and strengthen cells near the surface of the skin?	B	melanin	keratin	dermis	epidermis
1282	1282	Which organ system is responsible for the exchange of oxygen and carbon dioxide between the body and the environment?	D	circulatory	excretory	immune	respiratory
1283	1283	If a kindergartener is sitting on a swing attached by chains to a swing set, what two forces BEST describe why the child is motionless and not falling toward earth?	D	tension force in the child and compression force within the chains	gravity and compression force within the chains	tension force in the chains and compression force in the legs of the swing set	tension force in the chains and the force of gravity
1284	1284	In order for sediments to become rock, the sediments are generally	C	mixed with organic material.	returned to their origins.	compacted.	liquefied.
1285	1285	Which characteristic of the asthenosphere helps explain the evidence of crustal-plate motion?	B	the magnetic properties	the semiliquid physical state	the ability to deflect solar winds	the ability to absorb heat energy
